ID,airport_name,type,country,lat,long,elevation,service
HKKI,Kisumu International Airport,large_airport,KE,-0.086139,34.728901,3734.0,yes
HKKL,Kilaguni Airport,small_airport,KE,-2.906848,38.071738,2750.0,no
HKKR,Kericho Airport,small_airport,KE,-0.3899,35.242093,6446.0,no
HKKS,Kisii Airport,small_airport,KE,-0.672518,34.69099,4905.0,no
HKKT,Kitale Airport,medium_airport,KE,0.971989,34.958599,6070.0,no
HKKU,Kitui Airport,small_airport,KE,-1.37279,37.9781,3790.0,no
HKLG,Lokitaung Airport,small_airport,KE,4.319264,35.687879,1805.0,no
HKLK,Lokichogio Airport,medium_airport,KE,4.20412,34.348202,2074.0,no
HKLO,Lodwar Airport,medium_airport,KE,3.12197,35.6087,1715.0,no
HKLU,Manda Airport,medium_airport,KE,-2.252431,40.912892,20.0,yes
HKLY,Loiyangalani Airport,small_airport,KE,2.763605,36.718325,1195.0,no
HKMA,Mandera Airport,small_airport,KE,3.933816,41.844114,805.0,no
HKMB,Marsabit Airport,small_airport,KE,2.344254,37.999996,4395.0,no
HKMI,Kisima Airport,small_airport,KE,0.949109,36.757328,5940.0,no
HKMK,Mulika Lodge Airport,small_airport,KE,0.165083,38.195141,2230.0,yes
HKML,Malindi International Airport,medium_airport,KE,-3.22931,40.1017,80.0,yes
HKMM,Migori Airport,small_airport,KE,-1.116,34.485833,4616.0,no
HKMO,Moi International Airport,large_airport,KE,-4.03483,39.5942,200.0,yes
HKMS,Mara Serena Lodge Airstrip,medium_airport,KE,-1.404588,35.008349,5200.0,yes
HKMU,Makindu Airport,small_airport,KE,-2.290474,37.824559,3513.0,no
HKMY,Moyale Airport,small_airport,KE,3.46972,39.101398,2790.0,no
HKNY,Laikipia Air Base,medium_airport,KE,0.029024,37.025196,,no
HKRE,Moi Air Base,medium_airport,KE,-1.27727,36.862301,5336.0,no
HRYG,Gisenyi Airport,medium_airport,RW,-1.6772,29.2589,5082.0,no
HRYI,Butare Airport,small_airport,RW,-2.59583,29.7367,5801.0,no
HRYO,Gabiro Airport,small_airport,RW,-1.5499999523162842,30.382999420166016,4806.0,no
HRYR,Kigali International Airport,large_airport,RW,-1.96863,30.1395,4859.0,yes
HRZA,Kamembe Airport,medium_airport,RW,-2.462239980697632,28.907899856567383,5192.0,yes
HTAG,Amani Beach Airport,small_airport,TZ,-6.957292,39.505588,114.0,no
HTAR,Arusha Airport,medium_airport,TZ,-3.3677899837493896,36.63330078125,4550.0,yes
HTBB,Kibambawe Airstrip,small_airport,TZ,-7.748241,38.001833,485.0,no
HTBS,Mbesa Airport,small_airport,TZ,-11.331675,37.067816,1980.0,no
HTBU,Bukoba Airport,small_airport,TZ,-1.332,31.8212,3784.0,yes
HTCH,Chunya Airport,small_airport,TZ,-8.558318,33.436368,5000.0,no
HTDA,Julius Nyerere International Airport,large_airport,TZ,-6.873499,39.207288,182.0,yes
HTDO,Dodoma Airport,medium_airport,TZ,-6.170559,35.756036,3673.0,yes
HTEN,Endulen Airport,small_airport,TZ,-3.194243,35.26315,5442.0,no
HTGE,Chato/Geita Airport,small_airport,TZ,-2.74233,31.70683,3898.0,no
HTGR,Kirawira B Aerodrome,small_airport,TZ,-2.160833,34.225556,3970.0,no
HTIR,Iringa Airport,medium_airport,TZ,-7.66863,35.752102,4678.0,no
HTIY,Inyonga Airport,small_airport,TZ,-6.719232,32.062657,3790.0,no
HTKA,Kigoma Airport,small_airport,TZ,-4.8862,29.6709,2700.0,yes
HTKB,Kibondo Airport,small_airport,TZ,-3.525979995727539,30.650400161743164,4262.0,no
HTKD,Kondoa Airport,small_airport,TZ,-4.894127,35.769098,4578.0,no
HTKI,Kilwa Airport,small_airport,TZ,-8.91123,39.508619,50.0,no
HTKJ,Kilimanjaro International Airport,large_airport,TZ,-3.427049,37.07353,2932.0,yes
HTKL,Kirondatal Airport,small_airport,TZ,-4.312575,34.346453,5033.0,no
HTKO,Kongwa Airport,small_airport,TZ,-6.150000095367432,36.41699981689453,3300.0,no
HTKS,Kilosa Airport,small_airport,TZ,-6.864605,37.00845,1567.0,no
HTKT,Kilimatinde Airport,small_airport,TZ,-5.831378,34.966387,3300.0,no
HTLD,Loliondo Airport,small_airport,TZ,-2.06969,35.5457,6620.0,no
HTLI,Lindi Airport,small_airport,TZ,-9.851005,39.75911,100.0,no
HTLL,Liuli Airport,small_airport,TZ,-11.116399765014648,34.652198791503906,1667.0,no
HTLM,Lake Manyara Airport,medium_airport,TZ,-3.37631,35.818298,4150.0,no
HTMA,Mafia Airport,small_airport,TZ,-7.917478,39.668502,60.0,yes
HTMB,Mbeya Airport,small_airport,TZ,-8.919444,33.463889,5600.0,no
HTMD,Mwadui Airport,small_airport,TZ,-3.521332,33.615542,3970.0,no
HTMF,Mufindi Airport,small_airport,TZ,-8.732040405273438,35.3026008605957,4175.0,no
HTMG,Morogoro Airport,small_airport,TZ,-6.79722,37.653099,1676.0,no
HTMI,Masasi Airport,small_airport,TZ,-10.733,38.766998,1700.0,no
HTMK,Mikumi Airport,small_airport,TZ,-7.333427906036377,37.11635971069336,1737.0,no
HTML,Mahale Airstrip,small_airport,TZ,-6.012913,29.766937,2561.0,no
HTMO,Mombo Airport,small_airport,TZ,-4.899146,38.240289,1350.0,no
HTMP,Mpanda Airport,small_airport,TZ,-6.355374,31.084116,3520.0,no
HTMS,Moshi Airport,small_airport,TZ,-3.36333,37.3269,2801.0,no
HTMT,Mtwara Airport,medium_airport,TZ,-10.336204,40.181997,371.0,yes
HTMU,Musoma Airport,small_airport,TZ,-1.503,33.8021,3806.0,yes
HTMW,Mwanza International Airport,large_airport,TZ,-2.446563,32.936049,3763.0,yes
HTMX,Mpwapwa Airport,small_airport,TZ,-6.349999904632568,36.483001708984375,3240.0,no
HTSH,Mafinga Airport,small_airport,TZ,-8.334921,35.29917,6300.0,no
HTZA,Abeid Amani Karume International Airport,large_airport,TZ,-6.22202,39.224899,54.0,yes
HUAJ,Adjumani Airport,small_airport,UG,3.339239,31.763854,2611.0,no
